ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1964,4695,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1965,5509,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1966,2684,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1967,3305,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1968,2806,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1969,2191,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1970,2738,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1971,3102,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1972,3222,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1973,6199,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1974,12449,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1975,17761,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1976,7517,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1977,6484,0.5
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1978,3637,0.5
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1979,2704,0.5
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1980,5675,0.5
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1981,1840,0.5
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1982,4570,0.5
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1983,2681,0.5
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1984,2955,0.5
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1985,1055,0.5
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1986,2227,0.5
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1987,9632,0.5
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1988,24279,0.5
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1989,20413,0.5
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1990,2054,0.5
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1991,5085,0.54
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1992,3593,0.48
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1993,1941,0.89
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1994,2020,0.73
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1995,3044,0.69
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1996,10630,0.44
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1997,3539,0.4
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1998,4318,0.69
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,1999,2617,0.03
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,2000,1420,0.19
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,2001,3613,0.19
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,2002,18809,0.01
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,2003,24710,0.01
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,2004,6612,0.1
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,2005,9168,0.03
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,2006,10386,0.01
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,2007,3296,0.06
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,2008,3734,0.04
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,2009,7546,0.1
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,2010,7057,0.12
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,2011,8869,0.07
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,2012,8007,0.07
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,2013,12061,0.09
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Fall-run,2014,11537,0.09
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1980,298,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1981,721,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1982,2712,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1983,1009,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1984,133,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1985,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1986,165,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1987,471,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1988,475,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1989,572,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1990,34,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1991,32,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1992,168,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1993,348,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1994,407,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1995,376,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1996,254,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1997,39,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1998,42,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,1999,215,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,2000,33,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,2001,555,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,2002,886,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,2003,766,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,2004,352,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,2005,380,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,2006,292,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,2007,2144,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,2008,363,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,2009,26,0.4
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,2010,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,2011,200,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,2012,28,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Kalama River,Chinook,Spring-run,2013,158,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1964,16857,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1965,7927,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1966,11627,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1967,9711,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1968,7160,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1969,4986,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1970,4130,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1971,19926,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1972,18488,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1973,9120,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1974,7549,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1975,13859,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1976,3371,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1977,6930,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1978,5363,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1979,8023,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1980,13839,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1981,19297,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1982,8370,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1983,13540,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1984,7132,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1985,7491,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1986,10472,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1987,12210,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1988,11165,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1989,20058,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1990,15378,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1991,8787,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1992,5508,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1993,6462,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1994,8456,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1995,9715,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1996,13077,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1997,8168,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1998,5173,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,1999,2417,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,2000,8741,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,2001,11274,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,2002,13293,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,2003,12912,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,2004,12928,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,2005,9775,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,2006,5066,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,2007,3708,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,2008,5485,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,2009,6283,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,2010,9294,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,2011,8205,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,2012,8143,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Late fall,2013,15197,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1964,632,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1965,891,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1966,583,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1967,411,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1968,249,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1969,329,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1970,657,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1971,2142,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1972,534,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1973,210,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1974,420,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1975,581,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1976,325,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1977,568,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1978,687,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1979,716,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1980,311,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1981,397,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1982,240,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1983,305,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1984,192,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1985,540,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1986,389,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1987,135,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1988,427,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1989,591,0.78
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1990,342,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1991,230,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1992,202,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1993,156,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1994,395,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1995,200,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1996,334,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1997,307,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1998,104,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1999,217,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2000,304,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2001,526,0.7
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2002,1296,0.77
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2003,714,0.98
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2004,886,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2005,598,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2006,427,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2007,237,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2008,379,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2009,596,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2010,426,0.887
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2011,870,0.951
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2012,566,0.959
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2013,1540,0.936
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2014,942,0.909
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1964,3312,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1965,5707,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1966,4782,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1967,5487,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1968,2303,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1969,4260,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1970,9706,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1971,22758,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1972,21027,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1973,8390,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1974,7566,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1975,4766,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1976,3726,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1977,5837,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1978,3192,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1979,8253,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1980,2418,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1981,3991,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1982,3024,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1983,3654,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1984,2577,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1985,4300,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1986,2229,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1987,5930,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1988,7700,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1989,7220,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1990,2698,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1991,2567,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1992,2683,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1993,2218,0.06
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1994,2512,0.19
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1995,2231,0.13
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1996,1602,0.58
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1997,2710,0.72
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1998,2108,0.37
